GENE_CHROMOSOME	GENE_START	GENE_END	GENE_NAME
1	3487951	3611508	MEGF6
1	3625015	3630127	TPRG1L
1	3630767	3652761	WRAP73
1	3652516	3736201	TP73
1	3746460	3771645	CCDC27
1	3772761	3775982	SMIM1
1	3778559	3796498	LRRC47
1	3812086	3857214	CEP104
1	3857267	3885429	DFFB
1	3889125	3900293	C1orf174
1	4654609	4792534	AJAP1
1	5862811	5992473	NPHP4
1	5990927	6101193	KCNAB2
1	6101787	6180321	CHD5
1	6159430	6197757	AL031847.2
1	6185020	6209389	RPL22
1	6205475	6221299	RNF207
1	6221193	6235972	ICMT
1	6244179	6245578	HES3
1	6247353	6261098	GPR153
1	6264269	6394391	ACOT7
1	6412418	6424670	HES2
1	6424776	6461367	ESPN
1	6460786	6466195	TNFRSF25
1	6466092	6520061	PLEKHG5
1	6521347	6554513	NOL9
1	6555307	6579755	TAS1R1
1	6579994	6589280	ZBTB48
1	6590724	6614607	KLHL21
1	6613731	6624030	PHF13
1	6624866	6635586	THAP3
1	6634168	6701924	DNAJC11
1	6785454	7769706	CAMTA1
1	7771296	7781432	VAMP3
1	7784320	7845177	PER3
1	7843083	7853512	UTS2
1	7915894	7943165	TNFRSF9
1	7954291	7985505	PARK7
1	8004404	8026309	ERRFI1
1	8317826	8344167	SLC45A1
1	8352397	8848921	RERE
1	8861000	8879190	ENO1
1	8945867	8975092	CA6
1	9003300	9026345	SLC2A7
1	9035106	9088478	SLC2A5
1	9100305	9129102	GPR157
1	9234775	9271337	H6PD
1	9292894	9369532	SPSB1
1	9539465	9585173	SLC25A33
1	9588911	9614877	TMEM201
1	9651731	9729114	PIK3CD
1	9729026	9824526	CLSTN1
1	9848276	9910336	CTNNBIP1
1	9922113	9943407	LZIC
1	9943428	9985501	NMNAT1
1	9997206	10016021	RBP7
1	10032832	10181239	UBE4B
1	10210805	10381603	KIF1B
1	10398592	10420511	PGD
1	10430102	10452153	CENPS-CORT
1	10430433	10442808	CENPS
1	10449719	10451902	CORT
1	10456522	10472529	DFFA
1	10472288	10630758	PEX14
1	10636604	10796650	CASZ1
1	10946471	10982037	C1orf127
1	11012344	11026420	TARDBP
1	11012662	11030528	AL109811.3
1	11026523	11047239	MASP2
1	11054584	11060020	SRM
1	11066618	11099869	EXOSC10
1	11106535	11262551	MTOR
1	11189355	11195981	ANGPTL7
1	11273206	11296049	UBIAD1
1	11479155	11537551	DISP3
1	11637018	11655785	FBXO2
1	11654375	11663327	FBXO44
1	11664200	11674354	FBXO6
1	11674480	11691650	MAD2L2
1	11691710	11725857	DRAXIN
1	11736084	11754802	AGTRAP
1	11761787	11789585	C1orf167
1	11785723	11806920	MTHFR
1	11806096	11848079	CLCN6
1	11845709	11848345	NPPA
1	11857464	11858945	NPPB
1	11919591	11926428	KIAA2013
1	11934205	11975538	PLOD1
1	11980181	12013514	MFN2
1	12019466	12032045	MIIP
1	12063303	12144207	TNFRSF8
1	12166991	12209228	TNFRSF1B
1	12230030	12512047	VPS13D
1	12567910	12618210	DHRS3
1	12644547	12667086	AADACL4
1	12716110	12728760	AADACL3
1	12746200	12763699	C1orf158
1	12774841	12777906	PRAMEF12
1	12791397	12796628	PRAMEF1
1	12824605	12831410	PRAMEF11
1	12847408	12848725	HNRNPCL1
1	12857086	12861909	PRAMEF2
1	12879212	12886201	PRAMEF4
1	12892896	12898270	PRAMEF10
1	12916610	12920482	PRAMEF7
1	12938472	12947580	PRAMEF6
1	13049476	13056491	PRAMEF27
1	13060869	13062229	HNRNPCL3
1	13068677	13077884	PRAMEF25
1	13115488	13116854	HNRNPCL2
1	13148905	13155961	PRAMEF26
1	13164586	13165467	HNRNPCL4
1	13172455	13179464	PRAMEF9
1	13196188	13201409	PRAMEF13
1	13222705	13226106	PRAMEF18
1	13254212	13263314	PRAMEF5
1	13281035	13285174	PRAMEF8
1	13303539	13308907	PRAMEF33
1	13315581	13322598	PRAMEF15
1	13341892	13347134	PRAMEF14
1	13369067	13371900	PRAMEF19
1	13389632	13392629	PRAMEF17
1	13410450	13421328	PRAMEF20
1	13474973	13514003	LRRC38
1	13583465	13617957	PDPN
1	13700198	13825079	PRDM2
1	13892792	15118043	KAZN
1	15152532	15220478	TMEM51
1	15247272	15400283	FHAD1
1	15409888	15430339	EFHD2
1	15438442	15449242	CTRC
1	15456728	15472091	CELA2A
1	15465909	15491395	CELA2B
1	15490832	15526534	CASP9
1	15526813	15592379	DNAJC16
1	15571699	15585051	AGMAT
1	15617458	15669044	DDI2
1	15659869	15661722	RSC1A1
1	15684320	15734769	PLEKHM2
1	15736258	15741392	SLC25A34
1	15742499	15747982	TMEM82
1	15756607	15786594	FBLIM1
1	15807169	15809348	UQCRHL
1	15847707	15940456	SPEN
1	15941869	15976132	ZBTB17
1	16004236	16008807	SRARP
1	16014028	16019594	HSPB7
1	16018875	16034050	CLCNKA
1	16043736	16057308	CLCNKB
1	16057769	16073651	FAM131C
1	16124337	16156069	EPHA2
1	16197854	16212652	ARHGEF19
1	16231692	16237183	CPLANE2
1	16246840	16352480	FBXO42
1	16352575	16398145	SZRD1
1	16387117	16437424	SPATA21
1	16440721	16460078	NECAP2
1	16562319	16613562	NBPF1
1	16740273	16972964	CROCC
1	16974502	16980632	MFAP2
1	16985958	17011928	ATP13A2
1	17018722	17054170	SDHB
1	17066761	17119451	PADI2
1	17205128	17246007	PADI1
1	17249098	17284233	PADI3
1	17308195	17364004	PADI4
1	17372196	17401699	PADI6
1	17406760	17439677	RCC2
1	17539698	17697874	ARHGEF10L
1	17755333	17827063	ACTL8
1	18107798	18378483	IGSF21
1	18480982	18486126	KLHDC7A
1	18630846	18748866	PAX7
1	18839599	18859682	TAS1R2
1	18871430	18902724	ALDH4A1
1	18904280	18956676	IFFO2
1	19074510	19210266	UBR4
1	19215660	19251527	EMC1
1	19251805	19260128	MRTO4
1	19282573	19288770	AKR7A3
1	19303965	19312146	AKR7A2
1	19312326	19329300	SLC66A1
1	19338775	19485539	CAPZB
1	19484403	19629821	MICOS10
1	19596979	19658456	NBL1
1	19597067	19656927	MICOS10-NBL1
1	19664875	19680966	HTR6
1	19682213	19799945	TMCO4
1	19814029	19815283	RNF186
1	19882395	19912945	OTUD3
1	19920009	19923617	PLA2G2E
1	19975431	19980416	PLA2G2A
1	20028179	20091911	PLA2G5
1	20111939	20119566	PLA2G2D
1	20139326	20150386	PLA2G2F
1	20161253	20177424	PLA2G2C
1	20186096	20196050	UBXN10
1	20290919	20354894	VWA5B1
1	20482391	20486210	CAMK2N1
1	20499448	20508151	MUL1
1	20552573	20555020	FAM43B
1	20589086	20618903	CDA
1	20633458	20651511	PINK1
1	20651767	20661544	DDOST
1	20664014	20718017	KIF17
1	20719731	20732837	SH2D5
1	20742679	20787323	HP1BP3
1	20806292	21176888	EIF4G3
1	21217247	21345572	ECE1
1	21440128	21485005	NBPF3
1	21509397	21578410	ALPL
1	21596215	21669363	RAP1GAP
1	21678298	21783606	USP48
1	21812265	21825225	LDLRAD2
1	21822244	21937310	HSPG2
1	21977022	21998642	CELA3B
1	22001657	22012542	CELA3A
1	22025511	22101360	CDC42
1	22117313	22143969	WNT4
1	22428838	22531157	ZBTB40
1	22563489	22603595	EPHA8
1	22636628	22639678	C1QA
1	22643633	22648110	C1QC
1	22652762	22661637	C1QB
1	22710839	22921500	EPHB2
1	22953043	22965338	LACTBL1
1	23010834	23015852	TEX46
1	23019443	23083689	KDM1A
1	23084023	23177808	LUZP1
1	23191895	23194729	HTR1D
1	23303771	23344336	HNRNPR
1	23359448	23369836	ZNF436
1	23380909	23424748	TCEA3
1	23428563	23484568	ASAP3
1	23506438	23531233	E2F2
1	23557926	23559501	ID3
1	23691742	23696835	RPL11
1	23743155	23762059	ELOA
1	23778418	23788232	PITHD1
1	23791145	23795539	LYPLA2
1	23795599	23800781	GALE
1	23801885	23838620	HMGCL
1	23845077	23868294	FUCA1
1	23870515	23913362	CNR2
1	23956839	23963462	PNRC2
1	23964347	23980927	SRSF10
1	24056035	24112135	MYOM3
1	24119771	24143140	IL22RA1
1	24154168	24187959	IFNLR1
1	24319322	24364482	GRHL3
1	24356999	24416934	STPG1
1	24415802	24472976	NIPAL3
1	24502351	24541040	RCAN3
1	24556087	24609328	NCMAP
1	24631716	24673281	SRRM1
1	24745382	24844321	CLIC4
1	24899511	24965121	RUNX3
1	25222276	25232502	SYF2
1	25242249	25338213	RSRP1
1	25272393	25330445	RHD
1	25338317	25362361	TMEM50A
1	25362249	25430192	RHCE
1	25430858	25500209	MACO1
1	25543580	25568886	LDLRAP1
1	25617468	25786207	MAN1C1
1	25800176	25818221	SELENON
1	25811470	25823744	AL020996.2
1	25818640	25832942	MTFR1L
1	25831913	25859458	AUNIP
1	25861210	25871253	PAQR7
1	25884181	25906991	STMN1
1	25959767	25998117	PAFAH2
1	26019884	26036464	EXTL1
1	26037252	26046118	SLC30A2
1	26051304	26068436	TRIM63
1	26111165	26125555	PDIK1L
1	26159079	26163962	FAM110D
1	26164161	26168581	C1orf232
1	26169516	26171831	AL391650.1
1	26169908	26170873	ZNF593
1	26177484	26189884	CNKSR1
1	26190561	26202968	CATSPER4
1	26234200	26278808	CEP85
1	26280086	26281522	SH3BGRL3
1	26281328	26318363	UBXN11
1	26317958	26320523	CD52
1	26321698	26360080	CRYBG2
1	26361634	26374522	ZNF683
1	26410817	26429728	LIN28A
1	26432282	26471306	DHDDS
1	26472440	26476642	HMGN2
1	26529761	26575030	RPS6KA1
1	26693236	26782104	ARID1A
1	26787472	26798398	PIGV
1	26826688	26857604	ZDHHC18
1	26863149	26864456	SFN
1	26876132	26890283	GPN2
1	26890488	26900467	GPATCH3
1	26900238	26946871	NUDC
1	26911489	26913975	NR0B2
1	26949562	26960468	KDF1
1	26993692	27000886	TRNP1
1	27005020	27012850	TENT5B
1	27098809	27166981	SLC9A1
1	27234632	27308636	WDTC1
1	27322145	27336400	TMEM222
1	27342020	27353937	SYTL1
1	27354067	27366961	MAP3K6
1	27369112	27374824	FCN3
1	27379176	27383333	CD164L2
1	27392622	27395814	GPR3
1	27404230	27490167	WASF2
1	27534035	27604431	AHDC1
1	27612064	27635185	FGR
1	27666064	27672198	IFI6
1	27725979	27763122	FAM76A
1	27773219	27824443	STX12
1	27830782	27851676	PPP1R8
1	27872543	27886685	THEMIS2
1	27891524	27914746	RPA2
1	27935000	27959157	SMPDL3B
1	27959462	27968096	XKR8
1	27970344	28088637	EYA3
1	28147166	28193936	PTAFR
1	28199456	28233029	DNAJC8
1	28236109	28246906	ATP5IF1
1	28259518	28282491	SESN2
1	28329002	28335965	MED18
1	28369582	28500364	PHACTR4
1	28505943	28539300	RCC1
1	28553085	28578545	TRNAU1AP
1	28589323	28643085	TAF12
1	28592200	28595443	RAB42
1	28668732	28719353	GMEB1
1	28736621	28769775	YTHDF2
1	28812142	28871267	OPRD1
1	28887091	29120046	EPB41
1	29119429	29123903	TMEM200B
1	29147743	29181900	SRSF4
1	29192657	29230942	MECR
1	29236516	29326813	PTPRU
1	30711277	30723585	MATN1
1	30732469	30757774	LAPTM5
1	30869466	30908758	SDC3
1	30931506	31065991	PUM1
1	31179745	31239887	NKAIN1
1	31259568	31296788	SNRNP40
1	31296982	31364953	ZCCHC17
1	31365253	31376850	FABP3
1	31409565	31434680	SERINC2
1	31576485	31587686	TINAGL1
1	31617686	31632518	HCRTR1
1	31629866	31644896	PEF1
1	31652263	31704319	COL16A1
1	31727117	31764893	ADGRB2
1	31790422	31816051	SPOCD1
1	31906421	31944856	PTP4A2
1	32013868	32060850	KHDRBS1
1	32072031	32102866	TMEM39B
1	32108056	32176563	KPNA6
1	32179675	32198285	TXLNA
1	32200386	32205387	CCDC28B
1	32205661	32208687	IQCC
1	32209094	32216196	DCDC2B
1	32214472	32222359	TMEM234
1	32221928	32231604	EIF3I
1	32247222	32248856	FAM167B
1	32251239	32286165	LCK
1	32292083	32333635	HDAC1
1	32333839	32336233	MARCKSL1
1	32351521	32364312	TSSK3
1	32361270	32364278	FAM229A
1	32365103	32394731	BSDC1
1	32465057	32600792	AL033529.1
1	32465072	32496686	ZBTB8B
1	32539427	32605941	ZBTB8A
1	32600172	32650903	ZBTB8OS
1	32651142	32686211	RBBP4
1	32679906	32703596	SYNC
1	32741830	32774970	KIAA1522
1	32775237	32818153	YARS
1	32816767	32858875	S100PBP
1	32862268	32872482	FNDC5
1	32885994	32898441	HPCA
1	32894594	32901438	TMEM54
1	32936445	32964685	RNF19B
1	33007940	33080996	AK2
1	33081104	33123492	AZIN2
1	33145399	33182059	TRIM62
1	33256492	33300719	ZNF362
1	33306766	33321098	A3GALT2
1	33323623	33431052	PHC2
1	33472645	33496507	ZSCAN20
1	33513999	34165842	CSMD2
1	33860475	33864791	HMGB4
1	34166883	34219131	C1orf94
1	34712737	34859755	SMIM12
1	34755047	34758512	GJB5
1	34759740	34762327	GJB4
1	34781214	34786369	GJB3
1	34792999	34795747	GJA4
1	34865436	34929650	DLGAP3
1	34974356	34985313	AC114490.3
1	34981533	35031741	AC114490.2
1	34981535	34985353	TMEM35B
1	34986165	35031945	ZMYM6
1	35032172	35115859	ZMYM1
1	35176378	35193145	SFPQ
1	35268709	35422058	ZMYM4
1	35433492	35557950	KIAA0319L
1	35557473	35567274	NCDN
1	35573314	35595328	TFAP2E
1	35599541	35641526	PSMB2
1	35713877	35718894	C1orf216
1	35720218	35769978	CLSPN
1	35808016	35857890	AGO4
1	35869808	35930532	AGO1
1	35930718	36072500	AGO3
1	36084094	36088275	TEKT2
1	36088892	36093932	ADPRHL2
1	36095239	36125222	COL8A2
1	36136570	36156053	TRAPPC3
1	36155579	36180849	MAP7D1
1	36224432	36305357	THRAP3
1	36306368	36329340	SH3D21
1	36322031	36324154	EVA1B
1	36339624	36385896	STK40
1	36391238	36397908	LSM10
1	36415827	36450451	OSCP1
1	36455718	36464384	MRPS15
1	36466043	36483278	CSF3R
1	36795527	37034515	GRIK3
1	37474580	37484377	ZC3H12A
1	37492575	37514774	MEAF6
1	37534449	37554293	SNIP1
1	37556919	37566857	DNALI1
1	37566816	37595937	GNL2
1	37611350	37634892	RSPO1
1	37681570	37692249	C1orf109
1	37692481	37709719	CDCA8
1	37713880	37765133	EPHA10
1	37793802	37801137	MANEAL
1	37802945	37808208	YRDC
1	37806979	37809454	C1orf122
1	37809574	37859592	MTF1
1	37860697	37947057	INPP5B
1	37956975	37990075	SF3A3
1	37996770	38005606	FHL3
1	38009258	38024820	UTP11
1	38043829	38046793	POU3F1
1	38838198	38859772	RRAGC
1	38862493	38873368	MYCBP
1	38864501	38881617	AL139260.3
1	38874069	38881587	GJA9
1	38885807	38941830	RHBDL2
1	38991276	39006059	AKIRIN1
1	39026318	39034636	NDUFS5
1	39081316	39487177	MACF1
1	39491636	39529869	BMP8A
1	39560816	39576790	PABPC4
1	39623435	39639643	HEYL
1	39659121	39672038	NT5C1A
1	39678648	39691485	HPCAL4
1	39692182	39763914	PPIE
1	39757182	39788865	BMP8B
1	39769523	39771348	OXCT2
1	39838110	39883511	TRIT1
1	39895426	39902256	MYCL
1	39955112	39969968	MFSD2A
1	40040233	40072649	CAP1
1	40071461	40097727	PPT1
1	40161387	40240921	RLF
1	40245947	40251684	TMCO2
1	40258236	40294180	ZMPSTE24
1	40300489	40317813	COL9A2
1	40344850	40423326	SMAP2
1	40450102	40463718	ZFP69B
1	40477290	40496343	ZFP69
1	40508741	40516556	EXO5
1	40531573	40548167	ZNF684
1	40620680	40665682	RIMS3
1	40691648	40771603	NFYC
1	40783787	40840452	KCNQ4
1	40861054	40862363	CITED4
1	40979688	41012565	CTPS1
1	41015597	41023237	SLFNL1
1	41027200	41242154	SCMH1
1	41361922	41383590	FOXO6
1	41478775	41484683	EDN2
1	41506365	42035925	HIVEP3
1	41585306	41628816	AC119676.1
1	42153410	42155820	GUCA2B
1	42162690	42164745	GUCA2A
1	42176539	42335877	FOXJ3
1	42380792	42424232	RIMKLA
1	42430329	42456253	ZMYND12
1	42456117	42473385	PPCS
1	42463221	42657190	CCDC30
1	42658423	42676758	PPIH
1	42682418	42703805	YBX1
1	42733093	42740254	CLDN19
1	42746335	42767084	P3H1
1	42767249	42779491	C1orf50
1	42767292	42794493	AC098484.3
1	42785007	42816619	TMEM269
1	42807052	42817397	SVBP
1	42817122	42844991	ERMAP
1	42846573	42852477	ZNF691
1	42925375	42958868	SLC2A1
1	43145153	43156396	FAM183A
1	43164175	43270936	EBNA1BP2
1	43172149	43254358	CFAP57
1	43269983	43274002	TMEM125
1	43281877	43285617	C1orf210
1	43300982	43323108	TIE1
1	43337849	43352772	MPL
1	43358981	43363203	CDC20
1	43363398	43368074	ELOVL1
1	43383917	43389808	MED8
1	43389882	43454247	SZT2
1	43451003	43453989	HYI
1	43525187	43623666	PTPRF
1	43650149	43705518	KDM4A
1	43650149	43931014	AL451062.3
1	43705824	43931165	ST3GAL3
1	43933320	43937240	ARTN
1	43946950	43968022	IPO13
1	43970000	43973369	DPH2
1	43974487	43978295	ATP6V0B
1	43978943	43991170	B4GALT2
1	43991359	43996528	CCDC24
1	43991500	44031467	SLC6A9
1	44118821	44135140	KLF17
1	44137821	44141631	KLF18
1	44213455	44220681	DMAP1
1	44221070	44355260	ERI3
1	44405194	44651724	RNF220
1	44635238	44674481	TMEM53
1	44674692	44725591	ARMH1
1	44739818	44767767	KIF2C
1	44775251	44778779	RPS8
1	44783585	44788170	BEST4
1	44800377	44805990	PLK3
1	44805913	44806675	TCTEX1D4
1	44808482	44815585	BTBD19
1	44819844	44843253	PTCH2
1	44850522	44986722	EIF2B3
1	45002540	45011324	HECTD3
1	45010950	45015575	UROD
1	45016399	45306209	ZSWIM5
1	45326895	45328679	HPDL
1	45329163	45340893	MUTYH
1	45329262	45491155	AL451136.1
1	45340052	45343973	TOE1
1	45343883	45491163	TESK2
1	45493866	45500079	CCDC163
1	45500300	45513382	MMACHC
1	45511036	45523047	PRDX1
1	45550543	45570049	AKR1A1
1	45583846	45618904	NASP
1	45620044	45624057	CCDC17
1	45627304	45688113	GPBP1L1
1	45688181	45694436	TMEM69
1	45694324	45750653	IPP
1	45786987	46036122	MAST2
1	46040140	46133036	PIK3R3
1	46043661	46176488	AL358075.4
1	46175073	46185962	TSPAN1
1	46175486	46176478	P3R3URF
1	46188682	46220305	POMGNT1
1	46203334	46221256	LURAP1
1	46246461	46278480	RAD54L
1	46261196	46303608	LRRC41
1	46303698	46316776	UQCRH
1	46340177	46365152	NSUN4
1	46394317	46413848	FAAH
1	46506996	46514226	DMBX1
1	46532166	46543969	TMEM275
1	46545644	46551527	KNCN
1	46557408	46616843	MKNK1
1	46607715	46616891	MOB3C
1	46632737	46673867	ATPAF1
1	46668855	46673594	TEX38
1	46675159	46719114	EFCAB14
1	46757838	46819413	CYP4B1
1	46929177	46941484	CYP4A11
1	47023669	47050751	CYP4X1
1	47067231	47118318	CYP4Z1
1	47137435	47149735	CYP4A22
1	47183582	47191044	PDZK1IP1
1	47216290	47232220	TAL1
1	47250139	47314147	STIL
1	47333797	47378839	CMPK1
1	47416285	47418052	FOXE3
1	47436017	47440691	FOXD2
1	47760528	47997385	TRABD2B
1	48222685	48248644	SLC5A9
1	48295373	48472208	SPATA6
1	48532854	50023954	AGBL4
1	48727519	48776969	BEND5
1	50024029	50203786	ELAVL4
1	50417550	50423443	DMRTA2
1	50437028	50960267	FAF1
1	50960745	50974634	CDKN2C
1	51102221	51148086	C1orf185
1	51236273	51273447	RNF11
1	51287258	51345116	TTC39A
1	51354263	51519266	EPS15
1	51577179	51798427	OSBPL9
1	51789191	51878937	NRDC
1	51907956	51990700	RAB3B
1	52020131	52056171	TXNDC12
1	52020153	52033350	AL445685.3
1	52032103	52033810	KTI12
1	52056199	52090716	BTF3L4
1	52142094	52346686	ZFYVE9
1	52345723	52366193	CC2D1B
1	52372829	52404423	ORC1
1	52404602	52420836	PRPF38A
1	52408282	52553487	TUT4
1	52602371	52609051	GPX7
1	52633168	52669683	SHISAL2A
1	52684449	52698347	COA7
1	52726453	52827336	ZYG11B
1	52842511	52894998	ZYG11A
1	52895910	52927212	ECHDC2
1	52927276	53051698	SCP2
1	53062052	53085502	PODN
1	53087179	53142632	SLC1A7
1	53196792	53214197	CPT2
1	53214099	53220634	CZIB
1	53226900	53238518	MAGOH
1	53242364	53328469	LRP8
1	53459399	53467488	DMRTB1
1	53506237	53738106	GLIS1
1	53765478	53838463	NDC1
1	53851719	53889798	YIPF1
1	53891239	53911086	DIO1
1	53916574	53945929	HSPB11
1	53946085	53968168	LRRC42
1	54007298	54018186	LDLRAD1
1	54026681	54053504	TMEM59
1	54053584	54112519	TCEANC2
1	54132686	54200073	AL357673.1
1	54132968	54153770	CDCP2
1	54169651	54200036	CYB5RL
1	54184041	54225464	MRPL37
1	54225432	54413479	SSBP3
1	54542257	54639192	ACOT11
1	54609181	54623556	FAM151A
1	54641754	54710266	MROH7
1	54641786	54742308	MROH7-TTC4
1	54715861	54742657	TTC4
1	54756898	54764523	PARS2
1	54779712	54801323	TTC22
1	54806063	54842252	LEXM
1	54849627	54887195	DHCR24
1	54980628	54992288	TMEM61
1	54998933	55017172	BSND
1	55039548	55064852	PCSK9
1	55066359	55215364	USP24
1	56173433	56524495	AC119674.2
1	56494761	56645301	PLPP3
1	56645314	56715335	PRKAA2
1	56718789	56819696	FYB2
1	56854806	56918221	C8A
1	56929207	56966140	C8B
1	56994778	58546734	DAB1
1	58415384	58546802	OMA1
1	58575433	58577252	TACSTD2
1	58643440	58700077	MYSM1
1	58780791	58784047	JUN
1	59296638	59810647	FGGY
1	59814786	59876370	HOOK1
1	59893308	59926773	CYP2J2
1	59987269	60073770	C1orf87
1	60865259	61462788	NFIA
1	61681046	61725423	TM2D1
1	61742406	62178675	PATJ
1	62194849	62212328	L1TD1
1	62236165	62319434	KANK4
1	62436297	62451804	USP1
1	62454298	62688386	DOCK7
1	62597520	62606313	ANGPTL3
1	62784132	62865516	ATG4C
1	63322567	63325128	FOXD3
1	63367575	63438553	ALG6
1	63440770	63593721	ITGB3BP
1	63523372	63572693	EFCAB7
1	63593411	63660245	PGM1
1	63774017	64181498	ROR1
1	64203627	64267368	UBE2U
1	64470129	64693058	CACHD1
1	64745095	64833232	RAVER2
1	64833229	65067754	JAK1
1	65147549	65232145	AK4
1	65248219	65415871	DNAJC6
1	65420587	65436007	LEPROT
1	65420652	65641559	LEPR
1	65792514	66374579	PDE4B
1	66533383	66751139	SGIP1
1	66752459	66779047	TCTEX1D1
1	66797741	66801256	INSL5
1	66812885	66924856	WDR78
1	66924895	66988619	MIER1
1	66999350	67054148	SLC35D1
1	67092165	67231853	C1orf141
1	67138907	67259979	IL23R
1	67307364	67397090	IL12RB2
1	67407810	67430415	SERBP1
1	67685201	67688334	GADD45A
1	67701475	67833467	GNG12
1	68045886	68051631	DIRAS3
1	68098473	68233120	WLS
1	68428822	68449954	RPE65
1	68474152	68497221	DEPDC1
1	69568261	70151945	LRRC7
1	70144805	70205579	LRRC40
1	70205682	70253052	SRSF11
1	70258999	70354734	ANKRD13C
1	70354805	70385339	HHLA3
1	70411218	70439851	CTH
1	70852353	71047808	PTGER3
1	71063291	71081289	ZRANB2
1	71395943	72282539	NEGR1
1	74026015	74198187	LRRIQ3
1	74198212	74234086	FPGT
1	74198235	74544393	FPGT-TNNI3K
1	74235387	74544428	TNNI3K
1	74469878	74512614	LRRC53
1	74568117	74673792	ERICH3
1	74705482	74733408	CRYZ
1	74733152	74766678	TYW3
1	75128434	75161533	LHX8
1	75202131	75611116	SLC44A5
1	75724347	75787575	ACADM
1	75786197	75795086	RABGGTB
1	75796882	75913242	MSH4
1	75918873	75932404	ASB17
1	76074746	76634603	ST6GALNAC3
1	76867480	77067546	ST6GALNAC5
1	77088989	77219430	PIGK
1	77282019	77559966	AK5
1	77562416	77683419	AC118549.1
1	77695987	77759852	USP33
1	77779624	77879539	MIGA1
1	77888513	77943895	NEXN
1	77944055	77979110	FUBP1
1	77979175	78017964	DNAJB4
1	77979542	78138444	GIPC2
1	78303884	78540701	PTGFR
1	78619922	78646145	IFI44L
1	78649796	78664078	IFI44
1	78889764	79282124	ADGRL4
1	81306160	81992436	ADGRL2
1	83865024	83999150	TTLL7
1	84078062	84238498	PRKACB
1	84298366	84389957	SAMD13
1	84398532	84415018	DNASE2B
1	84479259	84498352	RPF1
1	84498325	84506581	GNG5
1	84506300	84566194	SPATA1
1	84549611	84574480	CTBS
1	84643707	84690803	SSX2IP
1	84811602	84893206	LPAR3
1	84925583	84997113	MCOLN2
1	84999147	85133138	WDR63
1	85018082	85048500	MCOLN3
1	85156889	85201016	SYDE2
1	85249953	85259672	C1orf52
1	85265776	85276632	BCL10
1	85318481	85578363	DDAH1
1	85580761	85583950	CCN1
1	85649417	85708433	ZNHIT6
1	85729233	86156943	COL24A1
1	86346824	86396342	ODF2L
1	86424171	86456553	CLCA2
1	86468368	86500289	CLCA1
1	86547078	86580754	CLCA4
1	86704570	86748184	SH3GLB1
1	86862445	86914424	SELENOF
1	86914635	87109982	HS2ST1
1	86993009	87169204	AC093155.3
1	87328880	87348923	LMO4
1	88684222	88836255	PKN2
1	88852633	88891944	GTF2B
1	88935773	88992953	KYAT3
1	88979456	88992960	RBMXL1
1	89006679	89022894	GBP3
1	89052319	89065230	GBP1
1	89106132	89150456	GBP2
1	89131742	89176009	GBP7
1	89181144	89198942	GBP4
1	89258950	89272804	GBP5
1	89364058	89386461	GBP6
1	89524836	89597864	LRRC8B
1	89633072	89769903	LRRC8C
1	89633140	89933250	AC093423.3
